date,datetime,value,price,market_cap,total_volume,hash_rate_ths,transaction_volume,MA_10,MA_50,EMA_10,EMA_50,RSI_14,Bollinger_High,Bollinger_Low,Bollinger_Middle,MACD,MACD_Signal,MACD_Diff,EMA_Diff,Day,Month,Weekday,Quarter,Weekday_Sin,Weekday_Cos,Month_Sin,Month_Cos,Price_Lag_1,MarketCap_Lag_1,TotalVolume_Lag_1,HashRate_Lag_1,TransactionVolume_Lag_1,Price_Lag_2,MarketCap_Lag_2,TotalVolume_Lag_2,HashRate_Lag_2,TransactionVolume_Lag_2,Price_Lag_3,MarketCap_Lag_3,TotalVolume_Lag_3,HashRate_Lag_3,TransactionVolume_Lag_3,Price_Lag_5,MarketCap_Lag_5,TotalVolume_Lag_5,HashRate_Lag_5,TransactionVolume_Lag_5,Price_Lag_7,MarketCap_Lag_7,TotalVolume_Lag_7,HashRate_Lag_7,TransactionVolume_Lag_7,Target_Price,price_Lag_1,price_Lag_2,price_Lag_3,price_Lag_5,price_Lag_7,market_cap_Lag_1,market_cap_Lag_2,market_cap_Lag_3,market_cap_Lag_5,market_cap_Lag_7,total_volume_Lag_1,total_volume_Lag_2,total_volume_Lag_3,total_volume_Lag_5,total_volume_Lag_7,hash_rate_ths_Lag_1,hash_rate_ths_Lag_2,hash_rate_ths_Lag_3,hash_rate_ths_Lag_5,hash_rate_ths_Lag_7,transaction_volume_Lag_1,transaction_volume_Lag_2,transaction_volume_Lag_3,transaction_volume_Lag_5,transaction_volume_Lag_7
21/04/2024,2024-04-21 00:00:00+00:00,-0.00856672,-0.391437282,-0.398701749,-0.881151672,-0.600950422,0.738985008,-0.396048234,-0.195018297,-0.39058287,-0.279215022,46.3730451,0.188331798,-0.680411927,-0.246040065,-0.087370613,-0.049188106,-0.038182508,-0.566125381,21,4,6,2,-4.00E-16,1.14624108,1.395766496,-0.561404731,-0.451058021,-0.44525098,0.406532332,-1.100019503,0.661653585,-0.482264453,-0.488971072,-0.184162997,-0.030552365,-1.069378734,-0.638370918,-0.64484783,0.005272064,-0.32740611,-0.885123386,-0.457646065,-0.468307861,0.067069093,0.72721428,-0.617576173,-0.363298447,-0.363323278,0.306209175,0.326594268,-0.486297085,-0.388226215,-0.460670621,-0.50097715,-0.664022137,-0.50334873,-0.428866792,-0.454907046,-0.507692056,-0.670480288,-0.513979959,-0.429166578,0.406760553,-0.183445992,0.005325017,0.065814338,0.29782668,-1.105478534,-0.045969499,-0.348686366,0.660369858,0.256747368,0.661109167,-1.075061425,-0.893239186,-0.626225872,-0.49000338
22/04/2024,2024-04-22 00:00:00+00:00,0.059813783,-0.388226215,-0.391700505,-0.773049918,0.004483312,0.958755933,-0.435574861,-0.190632266,-0.390154387,-0.283489971,46.48229221,0.160745915,-0.689900613,-0.264577349,-0.082585541,-0.055867593,-0.026717948,-0.56739752,22,4,0,2,-2.47E-17,1.14624108,1.395766496,-0.561404731,-0.381553633,-0.388822859,-0.881675752,-0.593627169,0.739344879,-0.441622631,-0.435742493,0.406304146,-1.100131726,0.661878973,-0.473206397,-0.479921726,-0.183551268,-0.020722963,-1.066143964,-0.435027783,-0.445797762,0.043948874,-0.727143721,-1.119000155,-0.257593236,-0.271585231,-0.015901267,-0.501263091,-0.267461228,-0.242569725,-0.391437282,-0.460670621,-0.50097715,-0.481183507,-0.325824539,-0.398701749,-0.454907046,-0.507692056,-0.491924459,-0.339758296,-0.881151672,0.406760553,-0.183445992,0.042698138,-0.024696554,-0.600950422,-1.105478534,-0.045969499,-0.752308856,-0.550497611,0.738985008,0.661109167,-1.075061425,-1.130429418,-0.270765401
23/04/2024,2024-04-23 00:00:00+00:00,0.013625338,-0.242569725,-0.248447201,-0.478185849,0.811728291,2.822161939,-0.43871267,-0.184839538,-0.363320812,-0.281885255,51.32611215,0.164374226,-0.682816355,-0.259221064,-0.066276086,-0.057949291,-0.008326794,-0.512682388,23,4,1,2,1.327068616,0.473355113,1.395766496,-0.561404731,-0.378329995,-0.381793858,-0.773549165,0.014043632,0.958595,-0.371813368,-0.379064887,-0.882176739,-0.590808221,0.739534447,-0.432375896,-0.426443499,0.406818868,-1.094113977,0.662371786,-0.621603652,-0.628033917,0.006569256,-0.311612863,-0.883117501,-0.439705248,-0.450346691,0.074493782,0.740522948,-0.622269721,-0.275803739,-0.388226215,-0.391437282,-0.460670621,-0.664022137,-0.50334873,-0.391700505,-0.398701749,-0.454907046,-0.670480288,-0.513979959,-0.773049918,-0.881151672,0.406760553,0.005325017,0.065814338,0.004483312,-0.600950422,-1.105478534,-0.348686366,0.660369858,0.958755933,0.738985008,0.661109167,-0.893239186,-0.626225872
24/04/2024,2024-04-24 00:00:00+00:00,0.07711298,-0.275803739,-0.287684712,-0.641456398,0.227983355,0.483791417,-0.423406364,-0.187560697,-0.347408617,-0.281646764,50.20947064,0.16517051,-0.681448991,-0.25813924,-0.055393886,-0.05743821,0.002044324,-0.483250619,24,4,2,2,1.327068616,-0.872416822,1.395766496,-0.561404731,-0.23210326,-0.237972628,-0.47861736,0.824271366,2.817585186,-0.368575589,-0.372004809,-0.774027254,0.020379985,0.95868348,-0.362242545,-0.369500067,-0.881450335,-0.582975399,0.73990427,-0.45522601,-0.461890354,-0.182234572,3.53E-05,-1.063937394,-0.416967201,-0.427716478,0.051407168,-0.708227431,-1.125548468,-0.438446568,-0.242569725,-0.388226215,-0.391437282,-0.50097715,-0.481183507,-0.248447201,-0.391700505,-0.398701749,-0.507692056,-0.491924459,-0.478185849,-0.773049918,-0.881151672,-0.183445992,0.042698138,0.811728291,0.004483312,-0.600950422,-0.045969499,-0.752308856,2.822161939,0.958755933,0.738985008,-1.075061425,-1.130429418
25/04/2024,2024-04-25 00:00:00+00:00,0.043706832,-0.438446568,-0.446329042,-0.362816704,-0.254855959,-0.103697739,-0.434668567,-0.187579074,-0.363960972,-0.287795776,45.04464809,0.150293614,-0.699160218,-0.274433302,-0.059211033,-0.057792775,-0.001418258,-0.523749242,25,4,3,2,1.63E-16,-1.545302789,1.395766496,-0.561404731,-0.265467385,-0.277365695,-0.641925415,0.238369503,0.484756035,-0.221707442,-0.227547705,-0.479032992,0.835297594,2.81681656,-0.358989735,-0.362406876,-0.773318618,0.030390895,0.958706216,-0.414095612,-0.408017359,0.408074582,-1.090733221,0.662662066,-0.604530993,-0.610925041,0.014081881,-0.294298751,-0.888793285,-0.422646965,-0.275803739,-0.242569725,-0.388226215,-0.460670621,-0.664022137,-0.287684712,-0.248447201,-0.391700505,-0.454907046,-0.670480288,-0.641456398,-0.478185849,-0.773049918,0.406760553,0.005325017,0.227983355,0.811728291,0.004483312,-1.105478534,-0.348686366,0.483791417,2.822161939,0.958755933,0.661109167,-0.893239186
26/04/2024,2024-04-26 00:00:00+00:00,0.01243439,-0.422646965,-0.431555955,-0.588201899,-0.872313295,-0.716184259,-0.426598391,-0.190116817,-0.374631152,-0.293084058,45.62974402,0.137953455,-0.71351974,-0.287783143,-0.060266539,-0.058287528,-0.001979011,-0.550199088,26,4,4,2,-1.327068616,-0.872416822,1.395766496,-0.561404731,-0.42874696,-0.43663897,-0.363221712,-0.246253894,-0.101340914,-0.255217916,-0.26711494,-0.64237563,0.246004331,0.485062984,-0.211439756,-0.21727225,-0.47837282,0.848212619,2.813896395,-0.343447136,-0.35065358,-0.880061549,-0.571319649,0.740108595,-0.437272378,-0.44389494,-0.174447523,0.016147758,-1.07028203,-0.474927703,-0.438446568,-0.275803739,-0.242569725,-0.391437282,-0.50097715,-0.446329042,-0.287684712,-0.248447201,-0.398701749,-0.507692056,-0.362816704,-0.641456398,-0.478185849,-0.881151672,-0.183445992,-0.254855959,0.227983355,0.811728291,-0.600950422,-0.045969499,-0.103697739,0.483791417,2.822161939,0.738985008,-1.075061425
27/04/2024,2024-04-27 00:00:00+00:00,0.002399591,-0.474927703,-0.484747659,-0.638932107,-0.460675071,-0.638651548,-0.42597281,-0.194921785,-0.392866889,-0.300215181,43.96183218,0.114050335,-0.729357893,-0.307653779,-0.064577247,-0.059545472,-0.005031776,-0.591639679,27,4,5,2,-1.327068616,0.473355113,1.395766496,-0.561404731,-0.412885502,-0.421807315,-0.588658682,-0.865992723,-0.71237599,-0.419213705,-0.427092407,-0.363612907,-0.241424231,-0.10076374,-0.245105802,-0.25702506,-0.641688623,0.256819296,0.485835837,-0.340170434,-0.343508029,-0.771941001,0.051976637,0.95866797,-0.395924194,-0.38973448,0.415003624,-1.070415026,0.662704117,-0.496722232,-0.422646965,-0.438446568,-0.275803739,-0.388226215,-0.460670621,-0.431555955,-0.446329042,-0.287684712,-0.391700505,-0.454907046,-0.588201899,-0.362816704,-0.641456398,-0.773049918,0.406760553,-0.872313295,-0.254855959,0.227983355,0.004483312,-1.105478534,-0.716184259,-0.103697739,0.483791417,0.958755933,0.661109167
28/04/2024,2024-04-28 00:00:00+00:00,0.008016269,-0.496722232,-0.507963273,-0.787569411,-0.460675071,-0.38638551,-0.40924282,-0.202257953,-0.411749678,-0.30792134,43.25205461,0.081378606,-0.741675016,-0.330148205,-0.068957255,-0.061427828,-0.007529426,-0.632826356,28,4,6,2,-4.00E-16,1.14624108,1.395766496,-0.561404731,-0.465370919,-0.475209897,-0.639400544,-0.452833503,-0.635027012,-0.403282671,-0.412195177,-0.589097618,-0.86475032,-0.711517091,-0.409862937,-0.417752842,-0.362971697,-0.232346312,-0.099063057,-0.191536711,-0.197302041,-0.47702567,0.883038351,2.811801423,-0.324901633,-0.332064609,-0.871260219,-0.553004176,0.74043712,-0.533939358,-0.474927703,-0.422646965,-0.438446568,-0.242569725,-0.391437282,-0.484747659,-0.431555955,-0.446329042,-0.248447201,-0.398701749,-0.638932107,-0.588201899,-0.362816704,-0.478185849,-0.881151672,-0.460675071,-0.872313295,-0.254855959,0.811728291,-0.600950422,-0.638651548,-0.716184259,-0.103697739,2.822161939,0.738985008
29/04/2024,2024-04-29 00:00:00+00:00,0.07230237,-0.533939358,-0.541651645,-0.896390597,-0.923768073,-1.002974985,-0.412539041,-0.210633183,-0.433965984,-0.316784792,42.00488284,0.000685282,-0.726681113,-0.362997915,-0.074571934,-0.064056649,-0.010515285,-0.679460204,29,4,0,2,-2.47E-17,1.14624108,1.395766496,-0.561404731,-0.487250774,-0.498517548,-0.788071993,-0.452833503,-0.383358784,-0.455998312,-0.465833867,-0.639850225,-0.449199594,-0.634203776,-0.393857944,-0.402785743,-0.588419363,-0.857893743,-0.708849101,-0.225450032,-0.237348301,-0.640324603,0.282070764,0.486321831,-0.321607581,-0.324880929,-0.763296823,0.067888843,0.959804946,-0.475283228,-0.496722232,-0.474927703,-0.422646965,-0.275803739,-0.388226215,-0.507963273,-0.484747659,-0.431555955,-0.287684712,-0.391700505,-0.787569411,-0.638932107,-0.588201899,-0.641456398,-0.773049918,-0.460675071,-0.460675071,-0.872313295,0.227983355,0.004483312,-0.38638551,-0.638651548,-0.716184259,0.483791417,0.958755933
30/04/2024,2024-04-30 00:00:00+00:00,-0.010039523,-0.475283228,-0.478525907,-0.496463865,-0.409220293,-0.309261634,-0.414000301,-0.218703249,-0.44147821,-0.323000417,44.71080358,-0.04378636,-0.723194162,-0.383490261,-0.073441956,-0.065933711,-0.007508245,-0.693115314,30,4,1,2,1.327068616,0.473355113,1.395766496,-0.561404731,-0.524613604,-0.532339477,-0.896918178,-0.917637625,-0.998487092,-0.477974141,-0.489244568,-0.788553158,-0.449199594,-0.382651582,-0.446818315,-0.456676005,-0.639163632,-0.440862122,-0.631658234,-0.391417296,-0.399262549,-0.361636467,-0.21501411,-0.097928625,-0.17218684,-0.17789479,-0.468810147,0.895746203,2.819793135,-0.708319376,-0.533939358,-0.496722232,-0.474927703,-0.438446568,-0.242569725,-0.541651645,-0.507963273,-0.484747659,-0.446329042,-0.248447201,-0.896390597,-0.787569411,-0.638932107,-0.362816704,-0.478185849,-0.923768073,-0.460675071,-0.460675071,-0.254855959,0.811728291,-1.002974985,-0.38638551,-0.638651548,-0.103697739,2.822161939
